"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","generated/patient-portal-ui/verify-doctor-james-smith-is-listed-on-the-doctors-page.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2","Clients should end with '-client.ts'","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","Naming conventions","sparta-framework/sparta-files.test.ts","",""
"","599","Patient portal UI - prescriptions page - verify prescriptions and medications","Patient Portal UI","Fri Sep 18 22:59:45 UTC 2026","passed","Fri Sep 18 22:59:46 UTC 2026","","patient-portal-ui/patient-portal-pages.test.ts","",""
"","1","end2end/patient-portal.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","70","Scenarios should not depend on Services","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","2","API 'assistant-api' should not depend on other APIs","Sparta Framework Tests","Fri Sep 18 22:59:37 UTC 2026","passed","Fri Sep 18 22:59:37 UTC 2026","No unallowed cross-API dependencies","sparta-framework/api-architecture.test.ts","",""
"","45","Base Clients should not depend on Asserters","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","52","Steppers should not depend on Asserters","Sparta Framework Tests","Fri Sep 18 22:59:35 UTC 2026","passed","Fri Sep 18 22:59:35 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","4","spec.ts files should not be present","Sparta Framework Tests","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:39 UTC 2026","","sparta-framework/test-files.test.ts","",""
"","48","Clients should not depend on Clients","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","44","Base Clients should not depend on Clients","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","42","Base Services should not depend on Steppers","Sparta Framework Tests","Fri Sep 18 22:59:37 UTC 2026","passed","Fri Sep 18 22:59:37 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","1","generated/end2end/assistant-sees-cancelled-status-after-patient-cancels-appointment.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2","API 'keycloak' should not depend on other APIs","Sparta Framework Tests","Fri Sep 18 22:59:37 UTC 2026","passed","Fri Sep 18 22:59:37 UTC 2026","No unallowed cross-API dependencies","sparta-framework/api-architecture.test.ts","",""
"","1","assistant-portal-ui/patients.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","1","assistant-portal-ui/dashboard.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","1","assistant-portal-ui/appointments.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2","Scenarios should end with '-scenario.ts'","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","Naming conventions","sparta-framework/sparta-files.test.ts","",""
"","2143","Assistant creates an appointment, the patient cancels it, and the assistant sees the cancellation","Smoke Chain Test","Fri Sep 18 22:59:48 UTC 2026","passed","Fri Sep 18 22:59:50 UTC 2026","","end2end/assistant-patient-appointment-cancellation.test.ts","",""
"","421","Patient portal UI - doctors page - verify doctor cards","Patient Portal UI","Fri Sep 18 22:59:45 UTC 2026","passed","Fri Sep 18 22:59:45 UTC 2026","","patient-portal-ui/patient-portal-pages.test.ts","",""
"","734","Assistant portal UI - sign in and store storage state - assistant_brown","Setup Assistant Portal UI Auth","Fri Sep 18 22:59:30 UTC 2026","passed","Fri Sep 18 22:59:31 UTC 2026","","assistant-portal-ui/setup/assistant-portal-auth-ui.setup.ts","",""
"","48","Asserters should not depend on Scenarios","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","414","Patient portal UI - profile page - verify stored patient details","Patient Portal UI","Fri Sep 18 22:59:46 UTC 2026","passed","Fri Sep 18 22:59:46 UTC 2026","","patient-portal-ui/patient-portal-pages.test.ts","",""
"","42","Base Clients should not depend on Base Services","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","2","patient-mobile-app/mobile.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","45","Services should not depend on Scenarios","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","43","Base Services should not depend on Base Services","Sparta Framework Tests","Fri Sep 18 22:59:37 UTC 2026","passed","Fri Sep 18 22:59:37 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","46","Services should not depend on Asserters","Sparta Framework Tests","Fri Sep 18 22:59:35 UTC 2026","passed","Fri Sep 18 22:59:35 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","48","Services should not depend on Services","Sparta Framework Tests","Fri Sep 18 22:59:35 UTC 2026","passed","Fri Sep 18 22:59:35 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","65","Steppers should not depend on Steppers","Sparta Framework Tests","Fri Sep 18 22:59:35 UTC 2026","passed","Fri Sep 18 22:59:35 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","2","Asserters should end with '-asserter.ts'","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","Naming conventions","sparta-framework/sparta-files.test.ts","",""
"","45","Base Clients should not depend on Base Clients","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","42","Base Services should not depend on Services","Sparta Framework Tests","Fri Sep 18 22:59:37 UTC 2026","passed","Fri Sep 18 22:59:37 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","50","Clients should not depend on Services","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","45","Asserters should not depend on Steppers","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","503","Patient Photo","Assistant Portal UI","Fri Sep 18 22:59:41 UTC 2026","passed","Fri Sep 18 22:59:42 UTC 2026","","assistant-portal-ui/patient-photo.test.ts","",""
"","705","Patient portal UI - sign in and store storage state - patient_moore","Setup Patient Portal UI Auth","Fri Sep 18 22:59:26 UTC 2026","passed","Fri Sep 18 22:59:27 UTC 2026","","patient-portal-ui/setup/patient-portal-auth-ui.setup.ts","",""
"","1","unit/testlayer-date-time-input.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","50","Asserters should not depend on Asserters","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","2","All filenames must be kebab-case","Sparta Framework Tests","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:39 UTC 2026","","sparta-framework/test-files.test.ts","",""
"","1","assistant-portal-ui/patient-photo.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2390","Assistant creates an appointment, the patient cancels it, and the assistant sees the cancellation","End2End","Fri Sep 18 22:59:51 UTC 2026","passed","Fri Sep 18 22:59:54 UTC 2026","","end2end/assistant-patient-appointment-cancellation.test.ts","",""
"","1","generated/end2end/assistant-sees-cancelled-status-after-patient-cancels-appointment.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:39 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","57","Steppers should not depend on Scenarios","Sparta Framework Tests","Fri Sep 18 22:59:35 UTC 2026","passed","Fri Sep 18 22:59:35 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","2","patient-portal-ui/verify-doctor-james-smith-is-listed-on-the-doctors-page.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","537","Steppers should not depend on Clients","Sparta Framework Tests","Fri Sep 18 22:59:35 UTC 2026","passed","Fri Sep 18 22:59:35 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","44","Base Clients should not depend on Scenarios","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:37 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","926","Assistant portal UI - appointments page - verify appointments page elements","Assistant Portal UI","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:40 UTC 2026","","assistant-portal-ui/appointments.test.ts","",""
"","2","Interaction group mobile should not depend on other groups","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","No unallowed cross-interaction dependencies","sparta-framework/interaction-architecture.test.ts","",""
"","44","Clients should not depend on Scenarios","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","44","Clients should not depend on Steppers","Sparta Framework Tests","Fri Sep 18 22:59:36 UTC 2026","passed","Fri Sep 18 22:59:36 UTC 2026","Not allowed dependencies","sparta-framework/api-architecture.test.ts","",""
"","1","end2end/assistant-patient-appointment-cancellation.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","1","end2end/patient-portal.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","1","assistant-portal-ui/patients.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","440","Patient Portal UI - Verify Patient Details","End2End","Fri Sep 18 22:59:55 UTC 2026","passed","Fri Sep 18 22:59:55 UTC 2026","","end2end/patient-portal.test.ts","",""
"","275","Interaction group api should not depend on other groups","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","No unallowed cross-interaction dependencies","sparta-framework/interaction-architecture.test.ts","",""
"","288","Assistant portal UI - dashboard page - verify dashboard entry point","Assistant Portal UI","Fri Sep 18 22:59:41 UTC 2026","passed","Fri Sep 18 22:59:41 UTC 2026","","assistant-portal-ui/dashboard.test.ts","",""
"","2","Steppers should end with '-stepper.ts'","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","Naming conventions","sparta-framework/sparta-files.test.ts","",""
"","678","Patient portal UI - sign in and store storage state - patient_thomas","Setup Patient Portal UI Auth","Fri Sep 18 22:59:28 UTC 2026","passed","Fri Sep 18 22:59:29 UTC 2026","","patient-portal-ui/setup/patient-portal-auth-ui.setup.ts","",""
"","1","end2end/assistant-patient-appointment-cancellation.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","493","Assistant portal UI - patients page - verify patient details in patient details page","Assistant Portal UI","Fri Sep 18 22:59:42 UTC 2026","passed","Fri Sep 18 22:59:43 UTC 2026","","assistant-portal-ui/patients.test.ts","",""
"","691","Patient portal UI - sign in and store storage state - patient_anderson","Setup Patient Portal UI Auth","Fri Sep 18 22:59:28 UTC 2026","passed","Fri Sep 18 22:59:28 UTC 2026","","patient-portal-ui/setup/patient-portal-auth-ui.setup.ts","",""
